KBAManufacturerID,KBAManufacturerName,TotalCount
2295,INEOS AUTOMOTIVE (UK),1170
1847,JIANGSU SACIN (RC),1167
8612,SIEGEL,1149
1378,KOENIG TRAILER,1142
0162,"GUTBROD,BUEBINGEN",1137
4128,NEW HOLLAND FIAT (I),1114
6768,"HOLDER,GRUNBACH",1106
9864,D*SIGN,1102
2114,J I CASE (UK),1054
8002,AZNP-SKODA (CS),1046
9624,CAMP-LET (DK),1037
8698,LAMBERT,1023
1921,NANJING VMOTO (RC),1007
2060,STAND.TRIU.INT.(UK),1002
1493,BOECKER MASCHINENWERKE,999
1873,LAMBRETTA (A),999
1839,CLAAS MATERIAL HANDLING,988
7879,KHD AGRARTECHNIK,978
3113,SIR (F),975
1213,TOYOTA (ZA),961
7868,SPINDELBERGER,959
6923,FAHRZEUGW.THAELMANN,944
1555,BERGER (A),943
1512,DAEDONG (ROK),938
4043,MOTO MORINI (I),936
1715,KR MOTORS (ROK),927
7816,CAMPTOURIST,919
9922,OEHLER MASCHINEN,914
0436,KAERCHER,905
6829,KARO,880
8258,HYUNDAI PREC.(ROK),876
0582,AGRIA-WERKE,856
1246,TRIGANO REMORQUES (F),853
1172,CNH (USA),843
8025,VELOREXPORT (CS),842
6733,TECHAU,835
8906,ARANDT,825
8846,WARNOWWERFT,823
7108,TOYO KOGYO (J),818
8575,STEINBACHER,816
8881,ARNSTADT ANH-BAU,800
6773,HATZ,798
1121,CATERPILLAR (USA),793
1775,SHERCO (F),786
7468,JIANGSU LINHAI (RC),784
0545,WAHL,783
9629,VOLVO (NL),781
8500,SCHRADER,771
6181,KRESS,767
2197,ROLLS-ROYCE MC (UK),756
8907,JOHN,750
7149,MFTBC (J),750
1409,GAS GAS MOTOS (E),748
7900,BRINKMANN,748
2140,LAND ROVER GROUP(UK),743
0887,IRMER & ELZE,742
1853,NIU (RC),736
0631,ARBEITSGEM.VW-M.A.N.,728
0020,BORGWARD,724
9647,DAF TRUCKS (NL),723
8913,BERLIN SCHMIEDE-KAR.,722
2317,SUZUKI (IND),716
1196,KLAAS-ALU-KRANE,712
8909,HENZE,711
