Id,Name,Code,LookupTable,Description,IsPrivate,GroupName,DataType,MinAllowedValue,MaxAllowedValue,IsQS,Decode,weight
67,Fuel Delivery / Fuel Injection Type,FuelInjectionType,FuelDeliveryType,<p>Fuel Delivery / Fuel Injection Type defines the mechanism through which fuel is delivered to the engine.</p>,0,Engine,lookup,NULL,NULL,1,Pattern,NULL
69,Knee Air Bag Locations,AirBagLocKnee,AirBagLocKnee,"<p>This field captures the location of knee air bags, which deploy from a car's lower dashboard, are meant to distribute impact forces on an occupant's legs in the case of a crash, thereby reducing leg injuries.</p>",0,Passive Safety System / Air Bag Location,lookup,NULL,NULL,NULL,Pattern,NULL
71,Engine Brake (hp) From,EngineHP,NULL,<p>Engine brake is the horsepower (hp) at the engine output shaft. Engine Brake (hp) From is the lower value of the range.</p>,0,Engine,decimal,NULL,NULL,NULL,Pattern,NULL
72,EV Drive Unit,EVDriveUnit,EVDriveUnit,<p>EV Drive Unit field stores electric vehicle (EV) motor configuration for single or dual motor.</p>,0,Mechanical / Battery,lookup,NULL,NULL,NULL,Pattern,NULL
75,Plant Country,PlantCountry,Country,<p>This data element captures the country of the manufacturing plant where the manufacturer affixes the VIN.</p>,0,General,lookup,NULL,NULL,NULL,Pattern,99
76,Plant Company Name,PlantCompanyName,NULL,<p>This data element captures the name of the company that owns the manufacturing plant  where the manufacturer affixes the VIN.</p>,0,General,string,NULL,NULL,NULL,Pattern,NULL
77,Plant State,PlantState,NULL,<p>This data element captures the State or Province name within the Plant Country of the manufacturing plant where the manufacturer affixes the VIN.</p>,0,General,string,NULL,NULL,NULL,Pattern,98
78,Pretensioner,Pretensioner,Pretensioner,"<p>This yes/no field captures whether or not the vehicle has a pretensioner, a device designed to make seat belts even more effective by removing the slack from a seat belt as soon as a crash is detected or if the system senses excessive seat belt tension on the driver's or passenger's seat belt.</p>",0,Passive Safety System,lookup,NULL,NULL,NULL,Pattern,NULL
79,Seat Belt Type,SeatBeltsAll,SeatBeltsAll,"<p>This field describes the type of seat belt, such as manual or automatic. Automatic seat belts automatically close over riders in a vehicle. Automatic seat belts were mainly used in some older model GM, Nissan, and Honda vehicles and are rarely seen now.</p>",0,Passive Safety System,lookup,NULL,NULL,NULL,Pattern,65
81,Adaptive Cruise Control (ACC),AdaptiveCruiseControl,AdaptiveCruiseControl,<p>ACC automatically adjusts the vehicle's speed to keep a pre-set distance from the vehicle in front of it.</p>,0,Active Safety System / Maintaining Safe Distance,lookup,NULL,NULL,NULL,Pattern,NULL
82,Adaptive Headlights,AdaptiveHeadlights,AdaptiveHeadlights,<p>Adaptive headlights are an active safety feature designed to make driving at night or in low-light conditions safer by increasing visibility around curves and over hills.</p>,0,Active Safety System,lookup,NULL,NULL,NULL,NULL,NULL
86,Anti-lock Braking System (ABS),ABS,ABS,<p>Anti-lock Braking System (ABS) means a portion of a service brake system that automatically controls the degree of rotational wheel slip during braking by: (1) Sensing the rate of angular rotation of the wheels; (2) Transmitting signals regarding the rate of wheel angular rotation to one or more controlling devices that interpret those signals and generate responsive controlling output signals; and (3) Transmitting those controlling signals to one or more modulator devices that adjust brake actuating forces in response to those signals.</p>,0,Active Safety System,lookup,NULL,NULL,NULL,Pattern,NULL
87,Crash Imminent Braking (CIB),CIB,AutoBrake,"<p>A CIB system is an automatic emergency braking system designed to detect an impending forward crash with another vehicle. CIB systems automatically apply the brakes in a crash imminent situation to slow or stop the vehicle, avoiding the crash or reducing its severity, if the driver does not brake in response to a forward collision alert.</p>",0,Active Safety System / Forward Collision Prevention,lookup,NULL,NULL,NULL,Pattern,NULL
88,Blind Spot Warning (BSW),BlindSpotMon,BlindSpotMonitoring,<p>BSW alerts drivers with an audio or visual warning if there are vehicles in adjacent lanes that the driver may not see when making a lane change.</p>,0,Active Safety System / Lane and Side Assist,lookup,NULL,NULL,NULL,Pattern,NULL
89,CAFE Body Type,CAFEBodyType,CAFEBodyType,NULL,1,NULL,lookup,NULL,NULL,NULL,NULL,NULL
90,CAFE Make,CAFEMake,CAFEMake,NULL,1,NULL,lookup,NULL,NULL,NULL,NULL,NULL
91,CAFE Model,CAFEModel,CAFEModel,NULL,1,NULL,lookup,NULL,NULL,NULL,NULL,NULL
92,NCAP Body Type,NCAPBodyType,NULL,NULL,1,NULL,string,NULL,NULL,NULL,NULL,NULL
93,NCAP Make,NCAPMake,NULL,NULL,1,NULL,string,NULL,NULL,NULL,NULL,NULL
94,NCAP Model,NCAPModel,NULL,NULL,1,NULL,string,NULL,NULL,NULL,NULL,NULL
96,NCSA Body Type,NCSABodyType,vNCSABodyType,<p>An internal NHTSA field to capture the body type of the vehicle.</p>,1,Internal,lookup,NULL,NULL,NULL,Pattern,NULL
97,NCSA Make,NCSAMake,vNCSAMake,<p>An internal NHTSA field to capture the Make of the vehicle.</p>,1,Internal,lookup,NULL,NULL,NULL,Pattern,NULL
98,NCSA Model,NCSAModel,vNCSAModel,<p>An internal NHTSA field to capture the Model of the vehicle.</p>,1,Internal,lookup,NULL,NULL,NULL,Pattern,NULL
99,Electronic Stability Control (ESC),ESC,ECS,"<p>ESC is a computerized technology that improves a vehicle's stability by detecting and reducing loss of traction (skidding). When ESC detects loss of steering control, it automatically applies the brakes to help steer the vehicle in the driver's intended direction. Braking is automatically applied to wheels individually, such as the outer front wheel to counter oversteer, or the inner rear wheel to counter understeer. Some ESC systems also reduce engine power until control is regained.</p>",0,Active Safety System,lookup,NULL,NULL,NULL,Pattern,NULL
100,Traction Control,TractionControl,TractionControl,"<p>When the traction control computer detects a driven wheel or wheels spinning significantly faster than another, it invokes an electronic control unit to apply brake friction to wheels spinning due to loss of traction. This braking action on slipping wheels will cause power transfer to the wheels with traction due to the mechanical action within the differential.</p>",0,Active Safety System,lookup,NULL,NULL,NULL,Pattern,NULL
